Region_1;Species;Sample ID;BIN
North_America;E. curvata;09BBDIP-2086;BOLD:AAN8586
North_America;E. curvata;BIOUG00965-F05;BOLD:AAN8586
North_America;E. curvata;BIOUG04992-D07;BOLD:AAN8586
North_America;E. curvata;BIOUG16015-C08;BOLD:AAN8586
North_America;E. curvata;BIOUG16127-C09;BOLD:AAN8586
North_America;E. curvata;BIOUG21858-G11;BOLD:AAN8586
North_America;E. curvata;BIOUG24496-D11;BOLD:AAN8586
North_America;E. curvata;BIOUG35477-A08;BOLD:AAN8586
North_America;E. curvata;BIOUG35612-E08;BOLD:AAN8586
North_America;E. curvata;BIOUG00965-E09;BOLD:AAN8586
North_America;E. curvata;BIOUG05015-F10;BOLD:AAN8586
North_America;E. curvata;BIOUG05033-B01;BOLD:AAN8586
North_America;E. capillata;10JSROW-0061;BOLD:AAP2525
North_America;E. capillata;10JSROW-0496;BOLD:AAP2525
North_America;E. capillata;BIOUG01433-A04;BOLD:AAP2525
North_America;E. capillata;BIOUG01522-D01;BOLD:AAP2525
North_America;E. capillata;BIOUG03114-H04;BOLD:AAP2525
North_America;E. capillata;BIOUG03224-E09;BOLD:AAP2525
North_America;E. capillata;BIOUG03884-G07;BOLD:AAP2525
North_America;E. capillata;BIOUG04070-D09;BOLD:AAP2525
North_America;E. capillata;BIOUG04553-G01;BOLD:AAP2525
North_America;E. capillata;BIOUG04574-F02;BOLD:AAP2525
North_America;E. capillata;BIOUG04738-F05;BOLD:AAP2525
North_America;E. capillata;BIOUG04821-B09;BOLD:AAP2525
North_America;E. capillata;BIOUG04821-B12;BOLD:AAP2525
North_America;E. capillata;BIOUG05160-F08;BOLD:AAP2525
North_America;E. capillata;BIOUG05173-G12;BOLD:AAP2525
North_America;E. capillata;BIOUG05646-H11;BOLD:AAP2525
North_America;E. capillata;BIOUG05964-G08;BOLD:AAP2525
North_America;E. capillata;BIOUG05964-H09;BOLD:AAP2525
North_America;E. capillata;BIOUG05968-E12;BOLD:AAP2525
North_America;E. capillata;BIOUG05968-H09;BOLD:AAP2525
North_America;E. capillata;BIOUG06161-H11;BOLD:AAP2525
North_America;E. capillata;BIOUG05792-H02;BOLD:AAP2525
North_America;E. capillata;BIOUG06333-H07;BOLD:AAP2525
North_America;E. capillata;BIOUG06346-A07;BOLD:AAP2525
North_America;E. capillata;BIOUG06581-C03;BOLD:AAP2525
North_America;E. capillata;BIOUG06581-D12;BOLD:AAP2525
North_America;E. capillata;BIOUG07089-B01;BOLD:AAP2525
North_America;E. capillata;BIOUG07195-B03;BOLD:AAP2525
North_America;E. capillata;BIOUG08182-D07;BOLD:AAP2525
North_America;E. capillata;BIOUG08385-C10;BOLD:AAP2525
North_America;E. capillata;BIOUG08389-H07;BOLD:AAP2525
North_America;E. capillata;BIOUG09683-D08;BOLD:AAP2525
North_America;E. capillata;BIOUG09872-G10;BOLD:AAP2525
North_America;E. capillata;BIOUG11702-C08;BOLD:AAP2525
North_America;E. capillata;BIOUG11998-G12;BOLD:AAP2525
North_America;E. capillata;BIOUG12693-C09;BOLD:AAP2525
North_America;E. capillata;BIOUG16069-F03;BOLD:AAP2525
North_America;E. capillata;BIOUG05156-G10;BOLD:AAP2525
North_America;E. capillata;BIOUG21470-A11;BOLD:AAP2525
North_America;E. capillata;BIOUG21480-F10;BOLD:AAP2525
North_America;E. capillata;BIOUG22022-E04;BOLD:AAP2525
North_America;E. capillata;BIOUG22022-G09;BOLD:AAP2525
North_America;E. capillata;BIOUG22004-E10;BOLD:AAP2525
North_America;E. capillata;BIOUG22065-F04;BOLD:AAP2525
North_America;E. capillata;BIOUG31059-E01;BOLD:AAP2525
North_America;E. capillata;BIOUG31107-H07;BOLD:AAP2525
North_America;E. capillata;10BBCDIP-0557;BOLD:AAP2525
North_America;E. capillata;BIOUG04555-G02;BOLD:AAP2525
North_America;E. capillata;BIOUG11733-G07;BOLD:AAP2525
North_America;E. capillata;BIOUG21428-G08;BOLD:AAP2525
North_America;E. capillata;BIOUG31068-C05;BOLD:AAP2525
North_America;E. capillata;BIOUG31108-D02;BOLD:AAP2525
North_America;E. repanda;BIOUG00938-H09;BOLD:ABA6848
North_America;E. repanda;BIOUG00965-E08;BOLD:ABA6848
North_America;E. repanda;BIOUG01433-A03;BOLD:ABA6848
North_America;E. repanda;BIOUG05522-E07;BOLD:ABA6848
North_America;E. repanda;BIOUG05646-E12;BOLD:ABA6848
North_America;E. repanda;BIOUG08568-B05;BOLD:ABA6848
North_America;E. repanda;BIOUG10521-G04;BOLD:ABA6848
North_America;E. repanda;BIOUG16051-F06;BOLD:ABA6848
North_America;E. repanda;BIOUG20998-H03;BOLD:ABA6848
North_America;E. repanda;BIOUG21985-D04;BOLD:ABA6848
North_America;E. repanda;BIOUG31044-H11;BOLD:ABA6848
North_America;E. repanda;BIOUG37006-E03;BOLD:ABA6848
North_America;E. repanda;BIOUG03446-H05;BOLD:ABA6848
North_America;E. repanda;BIOUG17656-D06;BOLD:ABA6848
North_America;E. repanda;BIOUG27568-B05;BOLD:ABA6848
North_America;E. repanda;BIOUG31032-H11;BOLD:ABA6848
North_America;E. sphaerata;BIOUG04382-H01;BOLD:ACC3725
North_America;E. sphaerata;BIOUG04981-B12;BOLD:ACC3725
North_America;E. sphaerata;BIOUG06557-C08;BOLD:ACC3725
North_America;E. sphaerata;BIOUG06581-B12;BOLD:ACC3725
North_America;E. sphaerata;BIOUG06642-F08;BOLD:ACC3725
North_America;E. sphaerata;BIOUG06898-F06;BOLD:ACC3725
